sample,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29
0,-1.0992976503688525,1.0537568715192822,-1.2465583071845265,3.4963409134355157,4.011440915435112,5.078824894743985,4.061758253784362,-1.1247805281599224,-0.6048515792796234,-1.4405610662631694,9.713382713146236,-0.6501676467441572,1.229459918578033,1.6224169344527517,8.62304480446261,-7.615754517307709,18.564794848440606,4.00378181049974,6.749171990161403,-8.869652271919922,-15.10365136426823,-12.60740496294116,-9.412321853682936,6.742143684826115,6.4254786253988785,-1.1527819780365804,10.343971941384938,7.341000522441502,-8.298613444503143,1.1542538501963335
1,-1.6712495687359206,3.6746224193191455,-1.8918441827748849,4.991980872856191,7.708996578889552,8.182533185284143,6.9711600900328445,-1.8403528698533458,-1.724216696466131,0.7959393368603368,3.136049365135208,7.549882908706902,4.448262428618122,3.7447218070310324,-3.739416689334281,3.132862765364759,-7.949613970171942,-16.63060616294792,-3.9472977352110834,9.479462990303805,22.641547288369154,4.804365863165536,-15.603380266763295,4.548056981452766,-2.8570689282926094,-3.803863104869841,-2.541033068924927,-5.636194757409571,-10.805545637295028,9.028624514080597
2,5.183527289956591,0.23035041144898072,-1.3467435339188267,-1.4848427073639539,-1.9069646983244088,-5.434305702884361,-4.592291292788632,-1.3604808799568904,5.476272523119929,5.610423453906079,-4.148739798239357,2.321945912438721,5.486965240731908,1.2431188888038185,-9.396762973727427,-11.056412191685913,-9.086096992564865,6.241486444266193,-5.314692523228623,-16.53382688936022,13.244849126849255,14.83128047742262,4.140480658101262,4.137937896893374,11.044928040782409,1.7424151803954877,-3.0344478713229517,14.012420902381388,-2.5113448746722815,8.8769944440955
3,3.48654922904753,-1.8938092489738516,-0.2962612165557684,-2.018799918276022,-3.9733693521941453,-5.581796063058074,-4.9402764659837555,-0.24928807538141598,1.8187228042184418,-1.103583561334218,0.9159616015489227,-6.999753806249674,-2.9277898857166975,-2.647161401040615,-0.04414889016970455,-11.274247308429997,6.683865724171502,21.61358275767035,2.7342831267372207,-4.936389710940726,-2.78715288730639,9.548240121715217,5.062915237628549,-9.471880221804208,17.482021003913623,8.285632386156571,1.699237265424227,7.255749274378642,17.23919789187453,-11.445412265285706
4,-0.5316069733866999,-3.233649340460452,-1.0842194091403714,3.3144747626718205,-0.11616453851812061,2.7639966394096884,1.352251209632352,-0.7250749697802211,0.9488857187599439,-2.2973794251763717,-3.3942446174213643,-7.845834077717709,-3.970796026753819,-3.6807874773927534,1.3336064131946122,0.3236030876199578,5.3574218857177,1.7565835429730388,3.573664613486661,16.637622437036732,6.18213325200721,20.369357609736785,-17.779353860866188,0.03161680533791368,-0.1727118859437935,-6.964696297471956,-0.8383669214551128,-7.7332942928152315,2.267465463252205,10.231440942814933
5,-13.27705027016138,-8.767470911104775,5.000916392326874,1.6594725960909364,-4.274339547974287,8.345564267750976,5.904441282258295,5.369672282914225,5.041162682117753,3.657694952631073,0.17073755002509408,-3.9573520080635234,3.0163361298754103,0.018826901453484556,4.7847413854840575,2.5359237808950232,0.10578724839592114,-2.0697164486701607,1.9357719055492728,1.0519440966570306,-6.19803403908324,13.484455331469418,-2.8878448964721892,-2.1948422405725565,-10.17597923782713,-9.194729238962836,-5.86375123749198,-4.110822122276909,-0.6204264808685761,12.082108314413603
6,9.213600698283068,3.6921970914531403,-4.751101955968976,2.0134053596096524,3.3970705193262596,-3.2594651640748062,-2.798226222534851,-4.694622672170794,1.1813904880732902,0.6290345391239819,-3.443050060089725,0.8442041559967989,1.0934772337487493,-0.2570342851131195,-3.8386900386671363,-2.4287362002881805,-4.879655896795012,-10.750837750689257,-11.987500875737874,-10.44050727727696,-3.973979036811754,3.40321615992631,-2.906473045285785,11.852663935722461,8.352166329410366,-2.189380369300289,5.738668773102966,6.543162725032259,4.717215405955093,1.770182670804305
7,4.9106360037733925,3.1295663682847294,-4.3069380579855805,4.775777868059237,5.898543444235354,2.784531641522273,2.0406017830649157,-4.131734160391291,0.6784813744353791,-0.5403154810813549,6.304731168309093,-0.11644334106130609,2.2174102338065658,1.3423018354026766,-2.7124126808162194,-8.147282895119476,-4.647398100914843,-1.426790639057571,10.39418803658126,-3.092100198160519,-6.69273543894048,2.813182741672278,8.901402007607546,-9.631389634232841,-5.901657829578189,-9.392923655017892,-12.007951007730057,3.638747645733009,-7.303267855977252,16.564334370723923
8,1.7977592839282608,1.5896170451876508,-2.5780041177014845,3.8696426133320347,4.300832848807721,3.5226066509930334,2.657904069324418,-2.4184019678756616,-1.894405169838579,-1.5534872798369392,-7.692394298943599,0.8959730171331448,-1.910410958081921,-1.4275438554140765,4.898394170166692,-2.1057585772558953,8.416672343422054,-0.29829414336763654,-6.623683865543344,-12.286335160611255,-9.29648067289199,-11.084755005325205,-2.2300679467966553,-0.9489883443296327,6.80141562414855,6.9471419709856645,6.860807501778077,10.384325853313944,2.1150363079667347,-11.327998951002435
9,-0.6962460759797867,-2.54817770978134,-1.780333540487488,4.871311181365186,1.809491568759674,4.866536711299963,3.049533690495258,-1.3737838706742833,1.8298709079138584,-1.321504933724645,0.4514489369908038,-6.491665546183068,-1.413572462094974,-2.080478159049359,-11.967046933762566,-5.2174804637602215,-10.22625260948851,-2.4473292197321768,-10.053991497455247,-3.7681063362518525,-1.6822969233525231,12.411326157641314,1.771308696117733,4.221646463411817,5.709407915554099,-2.8272014596429607,-2.3594414582710512,1.7427341812359267,21.982058126735428,-3.953899558296795
