,0
y0,-4.076826999287239
y1,1.4776448645960232
y2,-0.48497123408942977
y3,4.290647448992406
y4,5.562139586243696
y5,8.355127802701556
y6,6.935708754101721
y7,-0.38957110727882466
y8,-4.57989843464213
y9,-2.970829429811901
y10,-2.3697172911761593
y11,2.947308541056268
y12,-2.024446116431065
y13,0.08202500084016029
y14,0.6949971304607288
y15,16.013773033793708
y16,-0.3941193530457774
y17,6.190717153384931
y18,1.1650525752364576
y19,9.704755175341816
y20,-11.985499463724196
y21,-3.5654763398934537
y22,13.33978785528743
y23,-4.73452646907091
y24,-22.267541027067082
y25,-10.201525485367336
y26,-15.993280441232903
y27,-7.709172667876467
y28,-10.077507218279548
y29,4.010647530560692
