sample,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0,0.39806909487367137,-0.6513289572538083,0.29023706439458885,-0.3595952268005258,-0.8062777540717141,0.6251565774082899,-0.6980009061351387,0.6887124344652649,-0.05597253746885955,-0.3173299709757633,-0.3502882189864389,-0.7932554750098622,0.5369281038000071,-0.9390865489501066,-0.33009856893763523,-0.553573910508955,0.6001968873052344,0.039665954839343875,0.28410459620596007,-0.46314678351572325
1,0.6699733411593918,-0.9286476491174969,0.9300490883361963,-0.5078519665027417,0.39163331599505824,0.10218582446683255,-0.17009071402217457,0.2958748019472819,0.6682269500045372,-0.198874486485638,0.7469888925959576,-0.7571492652900944,0.4077114731115874,0.7507754488423923,0.4127045409664776,0.07898321932278485,0.4201940284878092,0.46976633762317177,0.9990875660346712,-0.136797905183637
2,0.13105639124610802,0.4310515011847318,-0.4375505769547319,-0.8657059539580747,0.8435441288665715,0.5753293259129038,0.8551263273230643,0.620488010556413,0.8331476701705176,0.8483378424002523,-0.08672818651762748,0.6157402024684495,0.4811222679123752,0.16346334320384903,0.7811367872362058,-0.5927387808168796,-0.6749165767624992,0.023900982993079634,-0.8530558723973725,-0.19172466972394053
3,-0.13226646732017233,0.46586454176917225,-0.7524749024472959,0.2457839879811532,-0.6177771709037143,-0.09169530434687334,-0.39648786367416466,-0.8787300942310414,0.44628500650213887,0.2662517557263715,0.01905240766085714,0.5906712100868883,-0.20048959207787154,-0.29898497320351214,0.7514282548993856,-0.32623396781317715,0.7570050395845964,-0.792079168664622,-0.9768548487974551,-0.9581556271717586
4,0.19680125965442286,-0.6098633658765089,-0.7618541087475403,0.6550452535119791,-0.32219007650660925,0.4283253119834076,0.5300609917276369,0.7638433709457382,-0.2801210759756232,0.42760050938227057,-0.08202860461730355,-0.11973222720198495,-0.37246618172586965,0.871711124844085,0.1481998230209618,0.9748763108884935,0.7968628925117631,0.02595937303512663,-0.7232430622967403,-0.7809207206925752
5,-0.990483693085664,-0.7425619049925207,-0.7439984376874067,-0.628179531831957,0.015001499610591829,-0.7493887288414769,0.7253254200533463,0.9610097263698107,-0.314204526929061,-0.3220692032567849,-0.15697540987515324,-0.6043078419285024,-0.17372120410623038,0.7618622835544056,0.46486541790839886,-0.7124012812676728,0.16011520230089316,-0.1888385111888673,-0.4776533877731264,-0.11600459643039995
6,0.9383884088108889,-0.04911624920161084,-0.09993873088403649,-0.029376852464294334,0.42317315446596293,0.6982106717169121,0.4841419761920982,0.7884023086794274,0.4513808435488347,-0.06531416071402152,0.14711429833309975,0.8528436078201502,-0.7322502958839288,-0.06489129623321266,-0.4593681533529872,-0.27859651971921395,-0.45464965864771445,0.7223133010347345,-0.44797186814937584,0.9353150511476107
7,0.989760509306491,-0.6780835169103832,0.14821561074743062,-0.40365014996924264,-0.4084104951657912,-0.17266922397824724,-0.26621421066272366,-0.007522724761358068,-0.797665512378195,0.5577129149388451,-0.9178388156801545,-0.8149356451772072,0.7600496471242073,0.44234859810552285,0.7437702084618949,-0.5682786217467799,-0.2923707180480013,-0.005835339973538911,-0.3289186910310966,0.5677278269712454
8,0.6318828292590195,-0.6221878083853118,0.11806210674565487,0.6559789124477815,0.6140814847256217,0.7080139052236558,-0.38145792166046966,0.8035992589319436,0.1842364181556173,0.7218264725063881,-0.0028560854546213488,0.8290909008561163,-0.8337623460253718,-0.4808258938146215,-0.9740782234904994,0.019636465403552128,-0.6772209060199621,0.2383263796874433,0.08142032132453325,0.14519466283407412
9,0.4031112192147084,-0.8888880221201023,-0.6147666661054016,0.1921451302886863,-0.4254284280720735,-0.21690367868978733,0.9217973706866527,-0.6956895878684448,-0.3262794458078011,0.07717815162043262,0.6634873754654262,0.634015505866343,-0.5731036048658549,0.09067570416338255,0.5078764887229303,-0.8341812654233522,0.39287051421695374,0.13265848899716914,-0.9369658952237925,0.46831731105572194
10,0.43507335177509865,0.6243444918064003,0.267787700740592,-0.3097361226709481,-0.9561619785108677,-0.39753525238853915,0.7839397763353761,-0.8976157368278019,0.3194534143367349,-0.8959785435882737,0.20300526866348045,-0.8040392538221544,0.8701407595569233,-0.2368807519008742,-0.8984794290112437,0.944193484256693,-0.0796336601277079,0.6864817039778606,0.6786868576220741,0.043683432423526014
11,0.5792227280625739,0.4007052180365698,-0.7516040307630654,-0.5540122598879389,0.6450809165345184,0.33895060081097284,0.1723067344483875,-0.4182352040896822,0.9611127213184427,-0.7748840390362228,-0.8681288160446268,0.5828200278906925,-0.21130609177226778,-0.15445873504729013,0.8286176047363889,-0.9110962959608302,-0.9361008397824655,-0.23214222676781637,-0.4008340720417696,-0.19297020110336005
12,0.3468194562158329,-0.4563828687754221,-0.021492253943656836,-0.7551325491130279,-0.18078769302643694,0.5114446629512568,-0.760636998287822,-0.29862204142977444,-0.37701718250519045,0.25817042359232967,-0.1035212481293144,-0.7564255290058757,-0.3779236778199122,-0.6400886914755026,0.2603507023974274,-0.42116936440028097,-0.07075534869869826,-0.6384003824209188,-0.8978500560414391,0.6733007091156109
13,0.2006852386428284,-0.16557962169842,-0.84319711883092,-0.5022924597234182,-0.5093465349123136,0.03011885169259565,0.3654383578819176,-0.378531627620573,-0.5753750601204952,-0.32535842190567177,-0.34648952131128663,0.3507169341336924,-0.1646643263824008,0.6306596285741874,-0.5687146678974482,-0.292491699145601,-0.11385408003809072,-0.4955103260341571,-0.6725406883650178,0.2657178971433889
14,0.6239475436919892,-0.7103320345420878,-0.818415251755845,0.1888108574951357,0.5983076035583541,0.5527415620968752,-0.10305748269187709,0.18437748622635497,-0.8870764529281749,-0.49316098962160315,0.26056462270293057,0.28218836133502734,0.28233056626694997,-0.5794682924886174,0.7968032224823887,-0.7918198082571468,-0.2736889077805371,-0.49350815009950333,0.011563397326070035,0.01717526981745543
15,0.03968530842415241,-0.1183473856693007,-0.6034810988194503,-0.47937717252057555,0.38662954889320766,-0.12414069831872165,-0.1886237642673363,-0.855727098756045,-0.2792522998262108,-0.5814779944444088,0.4130007838628216,-0.2927234211723164,0.7621561112945159,0.6657441722429311,-0.23756342269715436,-0.25861376606068287,-0.9508034508196921,0.10759052011263304,0.18424511345035866,-0.5163932709884096
